size,material,print,finish,cut,quantity,price,price_num,timestamp,error
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1,49 ₴,49,2026-04-14T12:52:50.480333,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,3,49 ₴,49,2026-04-14T12:52:53.375287,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1,34 ₴,34,2026-04-14T12:52:55.333755,
90x50,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1,70 ₴,70,2026-04-14T12:52:57.048535,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5,49 ₴,49,2026-04-14T12:52:56.408653,
90x50,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,3,70 ₴,70,2026-04-14T12:52:58.412869,
90x50,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1,71 ₴,71,2026-04-14T12:52:57.079853,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,3,34 ₴,34,2026-04-14T12:52:57.385810,
90x50,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,5,70 ₴,70,2026-04-14T12:52:59.768815,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10,49 ₴,49,2026-04-14T12:52:59.093312,
90x50,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,3,71 ₴,71,2026-04-14T12:52:59.784207,
90x50,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,10,70 ₴,70,2026-04-14T12:53:01.129657,
90x50,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1,56 ₴,56,2026-04-14T12:53:00.146909,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,5,34 ₴,34,2026-04-14T12:53:00.447931,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,15,49 ₴,49,2026-04-14T12:53:01.159716,
90x50,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,15,70 ₴,70,2026-04-14T12:53:02.496313,
90x50,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,3,56 ₴,56,2026-04-14T12:53:02.511927,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,10,34 ₴,34,2026-04-14T12:53:02.527327,
90x50,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,5,71 ₴,71,2026-04-14T12:53:02.167669,
90x50,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,20,70 ₴,70,2026-04-14T12:53:03.863775,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,20,49 ₴,49,2026-04-14T12:53:03.515421,
90x50,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,25,112 ₴,112,2026-04-14T12:53:05.220160,
90x50,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,10,71 ₴,71,2026-04-14T12:53:04.887561,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,15,34 ₴,34,2026-04-14T12:53:04.886949,
90x50,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,5,56 ₴,56,2026-04-14T12:53:04.886213,
90x50,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,50,154 ₴,154,2026-04-14T12:53:06.573994,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,25,83 ₴,83,2026-04-14T12:53:06.261797,
90x50,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,100,218 ₴,218,2026-04-14T12:53:07.946454,
90x50,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,20,34 ₴,34,2026-04-14T12:53:07.616948,
