size,material,print,finish,cut,quantity,price,price_num,timestamp,error
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1,87 ₴,87,2026-04-14T12:05:29.590323,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,3,87 ₴,87,2026-04-14T12:05:31.180840,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5,87 ₴,87,2026-04-14T12:05:34.140068,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1,34 ₴,34,2026-04-14T12:05:35.113954,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10,121 ₴,121,2026-04-14T12:05:36.139920,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1,109 ₴,109,2026-04-14T12:05:38.804671,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,15,121 ₴,121,2026-04-14T12:05:38.199590,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,3,34 ₴,34,2026-04-14T12:05:38.135443,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,3,109 ₴,109,2026-04-14T12:05:40.171542,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1,109 ₴,109,2026-04-14T12:05:38.836942,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,5,109 ₴,109,2026-04-14T12:05:41.521737,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,20,155 ₴,155,2026-04-14T12:05:40.845395,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,5,34 ₴,34,2026-04-14T12:05:41.285877,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,3,109 ₴,109,2026-04-14T12:05:41.550979,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,10,150 ₴,150,2026-04-14T12:05:42.889672,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1,56 ₴,56,2026-04-14T12:05:41.893587,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,25,184 ₴,184,2026-04-14T12:05:42.903419,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,15,150 ₴,150,2026-04-14T12:05:44.246591,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,3,56 ₴,56,2026-04-14T12:05:44.274434,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,10,68 ₴,68,2026-04-14T12:05:43.914226,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,5,109 ₴,109,2026-04-14T12:05:43.915249,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,20,192 ₴,192,2026-04-14T12:05:45.603952,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,50,244 ₴,244,2026-04-14T12:05:45.289600,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,25,228 ₴,228,2026-04-14T12:05:46.959705,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,15,68 ₴,68,2026-04-14T12:05:46.643001,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,5,56 ₴,56,2026-04-14T12:05:46.642110,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,10,151 ₴,151,2026-04-14T12:05:46.643661,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,50,312 ₴,312,2026-04-14T12:05:48.321938,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,100,364 ₴,364,2026-04-14T12:05:47.987778,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,100,480 ₴,480,2026-04-14T12:05:49.681159,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,20,102 ₴,102,2026-04-14T12:05:49.348320,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,10,98 ₴,98,2026-04-14T12:05:49.349341,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,15,151 ₴,151,2026-04-14T12:05:49.350305,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,150,646 ₴,646,2026-04-14T12:05:51.041753,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,150,484 ₴,484,2026-04-14T12:05:50.709924,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,200,812 ₴,812,2026-04-14T12:05:52.397454,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,15,98 ₴,98,2026-04-14T12:05:52.066884,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,20,193 ₴,193,2026-04-14T12:05:52.067848,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,25,131 ₴,131,2026-04-14T12:05:52.065782,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,250,1005 ₴,1005,2026-04-14T12:05:53.755517,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,200,602 ₴,602,2026-04-14T12:05:53.437829,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,300,1169 ₴,1169,2026-04-14T12:05:55.114478,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,50,191 ₴,191,2026-04-14T12:05:54.785856,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,20,140 ₴,140,2026-04-14T12:05:54.784028,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,25,230 ₴,230,2026-04-14T12:05:54.784984,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,500,1847 ₴,1847,2026-04-14T12:05:56.473684,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,250,740 ₴,740,2026-04-14T12:05:56.139362,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1000,3487 ₴,3487,2026-04-14T12:05:57.821711,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,100,311 ₴,311,2026-04-14T12:05:57.502917,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,50,316 ₴,316,2026-04-14T12:05:57.504689,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,25,177 ₴,177,2026-04-14T12:05:57.503869,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1200,4134 ₴,4134,2026-04-14T12:05:59.181761,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,300,857 ₴,857,2026-04-14T12:05:58.865309,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1500,5101 ₴,5101,2026-04-14T12:06:00.542062,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,50,263 ₴,263,2026-04-14T12:06:00.211737,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,100,486 ₴,486,2026-04-14T12:06:00.210800,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,150,431 ₴,431,2026-04-14T12:06:00.209587,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1700,5718 ₴,5718,2026-04-14T12:06:01.901498,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,500,1338 ₴,1338,2026-04-14T12:06:01.572346,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,2000,6601 ₴,6601,2026-04-14T12:06:03.262157,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,200,549 ₴,549,2026-04-14T12:06:02.934275,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,150,656 ₴,656,2026-04-14T12:06:02.933297,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,100,433 ₴,433,2026-04-14T12:06:02.931973,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,2500,8062 ₴,8062,2026-04-14T12:06:04.622558,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1000,2491 ₴,2491,2026-04-14T12:06:04.306077,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,5000,15795 ₴,15795,2026-04-14T12:06:05.979336,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,200,824 ₴,824,2026-04-14T12:06:05.651172,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,250,687 ₴,687,2026-04-14T12:06:05.650290,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,150,603 ₴,603,2026-04-14T12:06:05.651950,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,10000,31526 ₴,31526,2026-04-14T12:06:07.342278,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1200,2942 ₴,2942,2026-04-14T12:06:07.010210,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,25000,78720 ₴,78720,2026-04-14T12:06:08.701396,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,250,1020 ₴,1020,2026-04-14T12:06:08.366896,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,200,771 ₴,771,2026-04-14T12:06:08.368507,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,300,804 ₴,804,2026-04-14T12:06:08.367671,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,50000,157376 ₴,157376,2026-04-14T12:06:10.058923,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1500,3611 ₴,3611,2026-04-14T12:06:09.727257,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,1,74 ₴,74,2026-04-14T12:06:12.111211,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,300,1188 ₴,1188,2026-04-14T12:06:11.100921,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,250,967 ₴,967,2026-04-14T12:06:11.101902,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,500,1285 ₴,1285,2026-04-14T12:06:11.102466,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,3,74 ₴,74,2026-04-14T12:06:13.460683,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1700,4031 ₴,4031,2026-04-14T12:06:12.444983,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,5,120 ₴,120,2026-04-14T12:06:14.819864,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,500,1877 ₴,1877,2026-04-14T12:06:13.823333,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,300,1135 ₴,1135,2026-04-14T12:06:13.824174,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1000,2425 ₴,2425,2026-04-14T12:06:13.824905,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,10,166 ₴,166,2026-04-14T12:06:16.177188,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,2000,4624 ₴,4624,2026-04-14T12:06:15.495393,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,15,208 ₴,208,2026-04-14T12:06:17.537081,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1000,3547 ₴,3547,2026-04-14T12:06:16.858266,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1200,2863 ₴,2863,2026-04-14T12:06:16.859964,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,500,1824 ₴,1824,2026-04-14T12:06:16.859109,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,2500,5589 ₴,5589,2026-04-14T12:06:17.561969,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,20,240 ₴,240,2026-04-14T12:06:18.895665,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1200,4206 ₴,4206,2026-04-14T12:06:18.923742,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1000,3481 ₴,3481,2026-04-14T12:06:18.925633,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1500,3506 ₴,3506,2026-04-14T12:06:18.924775,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,25,306 ₴,306,2026-04-14T12:06:20.254271,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5000,10871 ₴,10871,2026-04-14T12:06:19.924107,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,50,501 ₴,501,2026-04-14T12:06:21.615392,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1700,3913 ₴,3913,2026-04-14T12:06:21.300350,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1200,4127 ₴,4127,2026-04-14T12:06:21.299381,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1500,5192 ₴,5192,2026-04-14T12:06:21.298380,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,100,889 ₴,889,2026-04-14T12:06:22.977619,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10000,21692 ₴,21692,2026-04-14T12:06:22.646384,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,150,1307 ₴,1307,2026-04-14T12:06:24.338132,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1700,5820 ₴,5820,2026-04-14T12:06:23.995483,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1500,5087 ₴,5087,2026-04-14T12:06:23.994656,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,2000,4493 ₴,4493,2026-04-14T12:06:23.989183,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,200,1690 ₴,1690,2026-04-14T12:06:25.693655,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,25000,54155 ₴,54155,2026-04-14T12:06:25.363891,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,250,2101 ₴,2101,2026-04-14T12:06:27.054384,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,2000,6722 ₴,6722,2026-04-14T12:06:26.705900,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,2500,5418 ₴,5418,2026-04-14T12:06:26.712221,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1700,5702 ₴,5702,2026-04-14T12:06:26.711298,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,300,2478 ₴,2478,2026-04-14T12:06:28.416465,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,50000,108259 ₴,108259,2026-04-14T12:06:28.086065,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,500,4018 ₴,4018,2026-04-14T12:06:29.759363,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,5000,10542 ₴,10542,2026-04-14T12:06:29.444375,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,2500,8213 ₴,8213,2026-04-14T12:06:29.442928,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,2000,6591 ₴,6591,2026-04-14T12:06:29.445254,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,1000,7651 ₴,7651,2026-04-14T12:06:31.115697,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,1200,9019 ₴,9019,2026-04-14T12:06:32.473045,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,5000,16096 ₴,16096,2026-04-14T12:06:32.156946,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,10000,21035 ₴,21035,2026-04-14T12:06:32.156023,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,2500,8042 ₴,8042,2026-04-14T12:06:32.157798,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,1500,11070 ₴,11070,2026-04-14T12:06:33.818208,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,1700,12535 ₴,12535,2026-04-14T12:06:35.183132,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,1,56 ₴,56,2026-04-14T12:06:34.193026,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,25000,52512 ₴,52512,2026-04-14T12:06:35.144581,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,5000,15767 ₴,15767,2026-04-14T12:06:35.148999,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,2000,14734 ₴,14734,2026-04-14T12:06:36.545126,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,10000,32128 ₴,32128,2026-04-14T12:06:35.143936,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,3,56 ₴,56,2026-04-14T12:06:36.569328,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,2500,18398 ₴,18398,2026-04-14T12:06:37.895912,
100x150,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,50000,104974 ₴,104974,2026-04-14T12:06:37.581416,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,10000,31471 ₴,31471,2026-04-14T12:06:37.582365,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,5000,36719 ₴,36719,2026-04-14T12:06:39.257929,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,25000,80227 ₴,80227,2026-04-14T12:06:38.322165,
100x150,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,5,56 ₴,56,2026-04-14T12:06:38.922720,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,10000,73362 ₴,73362,2026-04-14T12:06:40.612885,
100x150,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,25000,78584 ₴,78584,2026-04-14T12:06:40.268800,
