size,material,print,finish,cut,quantity,price,price_num,timestamp,error
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1,100 ₴,100,2026-04-14T12:33:07.801774,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,3,100 ₴,100,2026-04-14T12:33:10.730417,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1,34 ₴,34,2026-04-14T12:33:12.701711,
100x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1,122 ₴,122,2026-04-14T12:33:14.396969,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5,100 ₴,100,2026-04-14T12:33:13.746846,
100x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,3,122 ₴,122,2026-04-14T12:33:15.762711,
100x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1,122 ₴,122,2026-04-14T12:33:14.429693,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,3,34 ₴,34,2026-04-14T12:33:14.763170,
100x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,5,122 ₴,122,2026-04-14T12:33:17.116887,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10,100 ₴,100,2026-04-14T12:33:16.454132,
100x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,3,122 ₴,122,2026-04-14T12:33:17.145770,
100x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,10,122 ₴,122,2026-04-14T12:33:18.463155,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,5,34 ₴,34,2026-04-14T12:33:17.775411,
100x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1,56 ₴,56,2026-04-14T12:33:17.490877,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,15,134 ₴,134,2026-04-14T12:33:18.493512,
100x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,15,163 ₴,163,2026-04-14T12:33:19.822484,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,10,34 ₴,34,2026-04-14T12:33:19.859836,
100x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,5,122 ₴,122,2026-04-14T12:33:19.512090,
100x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,20,163 ₴,163,2026-04-14T12:33:21.171950,
100x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,3,56 ₴,56,2026-04-14T12:33:19.860529,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,20,134 ₴,134,2026-04-14T12:33:20.860096,
100x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,25,205 ₴,205,2026-04-14T12:33:22.542206,
100x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,10,122 ₴,122,2026-04-14T12:33:22.216078,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,15,68 ₴,68,2026-04-14T12:33:22.215305,
100x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,50,269 ₴,269,2026-04-14T12:33:23.888266,
100x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,5,56 ₴,56,2026-04-14T12:33:23.215539,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,25,168 ₴,168,2026-04-14T12:33:23.560868,
100x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,100,381 ₴,381,2026-04-14T12:33:25.245335,
100x100,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,10,56 ₴,56,2026-04-14T12:33:25.270883,
100x100,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,20,68 ₴,68,2026-04-14T12:33:24.933659,
100x100,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,15,164 ₴,164,2026-04-14T12:33:24.932719,
100x100,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,150,493 ₴,493,2026-04-14T12:33:26.601763,
