size,material,print,finish,cut,quantity,price,price_num,timestamp,error
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,без порізки,1500,13701 ₴,13701,2026-04-14T14:22:29.645470,
200x200,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,50000,681934 ₴,681934,2026-04-14T14:22:29.295962,
200x200,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,5000,27714 ₴,27714,2026-04-14T14:22:29.301025,
200x200,самоклеючий папір з надсічками,4+0,soft touch,плоттер,10000,168319 ₴,168319,2026-04-14T14:22:29.301988,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,без порізки,1700,15525 ₴,15525,2026-04-14T14:22:31.005827,
200x200,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,10000,56713 ₴,56713,2026-04-14T14:22:30.657295,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,без порізки,2000,18263 ₴,18263,2026-04-14T14:22:32.363416,
200x200,самоклеючий папір з надсічками,4+0,soft touch,плоттер,25000,420682 ₴,420682,2026-04-14T14:22:32.015829,
200x200,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,10000,55399 ₴,55399,2026-04-14T14:22:32.015181,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,без порізки,2500,22825 ₴,22825,2026-04-14T14:22:33.724198,
200x200,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,25000,141740 ₴,141740,2026-04-14T14:22:33.375756,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,без порізки,5000,45636 ₴,45636,2026-04-14T14:22:35.081761,
200x200,самоклеючий папір з надсічками,4+0,soft touch,плоттер,50000,841288 ₴,841288,2026-04-14T14:22:34.735792,
200x200,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,25000,138455 ₴,138455,2026-04-14T14:22:34.736719,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,без порізки,10000,91258 ₴,91258,2026-04-14T14:22:36.443245,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,1,35 ₴,35,2026-04-14T14:22:35.453362,
200x200,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,50000,283453 ₴,283453,2026-04-14T14:22:36.095991,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,без порізки,25000,228124 ₴,228124,2026-04-14T14:22:37.803609,
200x200,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,50000,276882 ₴,276882,2026-04-14T14:22:37.456617,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,3,56 ₴,56,2026-04-14T14:22:37.828609,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,без порізки,50000,456233 ₴,456233,2026-04-14T14:22:39.161676,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,1,50 ₴,50,2026-04-14T14:22:41.262656,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,5,77 ₴,77,2026-04-14T14:22:40.177021,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,3,70 ₴,70,2026-04-14T14:22:42.613462,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,1,34 ₴,34,2026-04-14T14:22:41.627193,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,5,91 ₴,91,2026-04-14T14:22:43.980041,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,1,67 ₴,67,2026-04-14T14:22:42.977888,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,10,119 ₴,119,2026-04-14T14:22:42.915883,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,1,60 ₴,60,2026-04-14T14:22:42.899421,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,3,55 ₴,55,2026-04-14T14:22:43.984799,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,10,133 ₴,133,2026-04-14T14:22:45.341700,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,3,94 ₴,94,2026-04-14T14:22:45.344907,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,15,196 ₴,196,2026-04-14T14:22:46.703849,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,3,81 ₴,81,2026-04-14T14:22:46.008319,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,15,181 ₴,181,2026-04-14T14:22:46.007396,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,5,75 ₴,75,2026-04-14T14:22:46.355406,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,20,237 ₴,237,2026-04-14T14:22:48.069747,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,5,120 ₴,120,2026-04-14T14:22:47.719129,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,5,101 ₴,101,2026-04-14T14:22:48.070531,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,20,223 ₴,223,2026-04-14T14:22:48.071349,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,25,300 ₴,300,2026-04-14T14:22:49.428947,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,10,116 ₴,116,2026-04-14T14:22:49.081516,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,50,551 ₴,551,2026-04-14T14:22:50.789277,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,25,286 ₴,286,2026-04-14T14:22:50.442035,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,10,142 ₴,142,2026-04-14T14:22:50.441258,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,10,174 ₴,174,2026-04-14T14:22:50.440228,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,100,1072 ₴,1072,2026-04-14T14:22:52.149298,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,15,178 ₴,178,2026-04-14T14:22:51.802074,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,150,1595 ₴,1595,2026-04-14T14:22:53.511838,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,15,255 ₴,255,2026-04-14T14:22:53.179181,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,50,536 ₴,536,2026-04-14T14:22:53.177745,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,15,204 ₴,204,2026-04-14T14:22:53.178641,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,200,2116 ₴,2116,2026-04-14T14:22:54.871104,
