size,material,print,finish,cut,quantity,price,price_num,timestamp,error
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,150,1512 ₴,1512,2026-04-14T15:53:16.127317,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,250,2458 ₴,2458,2026-04-14T15:53:16.900895,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,50,771 ₴,771,2026-04-14T15:53:17.089431,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,50,785 ₴,785,2026-04-14T15:53:17.719708,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,100,1493 ₴,1493,2026-04-14T15:53:18.095940,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,200,1975 ₴,1975,2026-04-14T15:53:19.139404,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,300,2902 ₴,2902,2026-04-14T15:53:19.903233,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,96,1412 ₴,1412,2026-04-14T15:53:20.106197,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,96,1415 ₴,1415,2026-04-14T15:53:20.722051,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,150,2177 ₴,2177,2026-04-14T15:53:21.099499,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,250,2425 ₴,2425,2026-04-14T15:53:22.126233,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,350,3335 ₴,3335,2026-04-14T15:53:22.897475,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,100,1467 ₴,1467,2026-04-14T15:53:23.103784,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,100,1469 ₴,1469,2026-04-14T15:53:23.738282,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,200,2848 ₴,2848,2026-04-14T15:53:24.101034,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,300,2863 ₴,2863,2026-04-14T15:53:25.130003,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,400,3756 ₴,3756,2026-04-14T15:53:25.915692,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,150,2151 ₴,2151,2026-04-14T15:53:26.101890,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,150,2140 ₴,2140,2026-04-14T15:53:26.729680,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,250,3514 ₴,3514,2026-04-14T15:53:27.138505,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,350,3289 ₴,3289,2026-04-14T15:53:28.137984,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,450,4163 ₴,4163,2026-04-14T15:53:28.910941,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,200,2822 ₴,2822,2026-04-14T15:53:29.099256,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,200,2800 ₴,2800,2026-04-14T15:53:29.729117,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,300,4166 ₴,4166,2026-04-14T15:53:30.089471,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,400,3703 ₴,3703,2026-04-14T15:53:31.131991,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,500,4559 ₴,4559,2026-04-14T15:53:31.902885,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,250,3481 ₴,3481,2026-04-14T15:53:32.093148,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,250,3454 ₴,3454,2026-04-14T15:53:32.736345,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,350,4808 ₴,4808,2026-04-14T15:53:33.104949,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,450,4104 ₴,4104,2026-04-14T15:53:34.147717,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,600,5313 ₴,5313,2026-04-14T15:53:34.909543,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,300,4127 ₴,4127,2026-04-14T15:53:35.085791,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,300,4094 ₴,4094,2026-04-14T15:53:35.734215,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,400,5437 ₴,5437,2026-04-14T15:53:36.099926,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,500,4493 ₴,4493,2026-04-14T15:53:37.145084,
